True_Label,Predicted_Label,Confidence
5,5,0.8644991
4,3,0.29422012
4,2,0.2184843
3,4,0.31912577
5,5,0.58150804
5,0,0.31887522
2,4,0.5212042
4,3,0.41014373
3,4,0.29427025
3,2,0.277282
6,6,0.32000574
0,6,0.30036783
0,6,0.30538365
3,3,0.5687749
2,3,0.33073553
0,3,0.35500857
0,0,0.26368332
0,6,0.4333745
4,4,0.4007473
0,0,0.308254
3,3,0.34514308
3,4,0.43852517
2,3,0.3721449
4,3,0.39391243
3,3,0.6378719
2,4,0.31204832
0,6,0.2546413
4,6,0.4463407
3,3,0.34530732
0,0,0.5756371
4,4,0.37150875
5,5,0.96639186
4,4,0.34698683
2,3,0.40260258
3,3,0.7356252
6,3,0.3963892
3,3,0.68703735
3,3,0.68537164
4,4,0.3867715
5,3,0.22272702
6,6,0.44103462
2,5,0.5036141
6,3,0.25941968
4,6,0.2593365
5,3,0.8130336
4,4,0.4050635
1,6,0.24420334
6,3,0.39255086
5,4,0.284889
6,3,0.5543171
5,5,0.35866082
0,6,0.29187772
0,3,0.52935565
6,5,0.29397586
5,5,0.97439253
6,6,0.2767901
3,3,0.7225881
2,3,0.32129034
4,6,0.32932997
4,3,0.26567075
2,0,0.22532563
0,4,0.23256794
2,6,0.32381138
3,6,0.35196272
4,4,0.3581339
3,3,0.5143921
3,5,0.67412436
0,6,0.3780859
0,3,0.24448258
6,3,0.35516724
2,3,0.4607232
6,6,0.5494969
2,0,0.24844523
6,6,0.5044156
0,5,0.43259466
1,2,0.28669855
6,5,0.57725996
6,6,0.63675857
0,6,0.5485895
2,5,0.5780558
5,5,0.80847436
6,6,0.29651332
0,0,0.41668662
6,3,0.5656628
3,6,0.5982926
0,3,0.4077393
4,3,0.39456528
0,3,0.46540016
3,6,0.31160942
0,6,0.38743064
2,3,0.45605958
0,4,0.30785426
6,3,0.37924078
6,4,0.4413573
2,4,0.25950578
2,5,0.512842
5,2,0.26977062
6,4,0.34389138
5,3,0.4896045
3,3,0.43009552
6,3,0.26429662
0,4,0.3208694
0,3,0.5399752
3,3,0.47846258
6,4,0.25910836
6,6,0.37210378
6,6,0.26107034
2,5,0.4470366
5,5,0.39783403
3,3,0.23679268
3,3,0.6483666
6,3,0.46634775
5,6,0.25202084
4,3,0.2538719
2,5,0.25871462
5,4,0.20264357
3,0,0.25093856
6,6,0.22361891
0,6,0.48563114
4,4,0.37613297
4,6,0.36602852
0,3,0.3112429
2,3,0.33061633
0,3,0.20822226
2,4,0.29483655
3,6,0.29252318
4,3,0.6279863
3,3,0.5650915
3,3,0.4856489
2,2,0.2206547
0,4,0.26531819
3,3,0.54805875
4,3,0.30453116
3,6,0.5019998
3,0,0.34798968
3,0,0.25604066
2,3,0.46176293
2,0,0.35433084
0,6,0.41401905
3,6,0.28233847
4,6,0.50802755
3,3,0.274181
5,5,0.2163583
2,6,0.33399457
3,2,0.34653136
2,3,0.38146523
3,3,0.42291796
6,4,0.34407616
1,0,0.2588617
3,3,0.44929644
3,5,0.29387632
3,3,0.41147125
4,3,0.8254318
6,5,0.3138235
6,6,0.50541186
4,4,0.43959406
6,6,0.3336019
0,4,0.3552011
3,6,0.4073084
5,2,0.30103
5,3,0.34431708
3,5,0.22198799
4,4,0.43538326
6,6,0.35822502
3,3,0.6018401
4,6,0.30056918
3,3,0.33966312
2,4,0.37659913
2,4,0.3315695
6,4,0.25623745
2,3,0.46364158
5,6,0.35672563
4,3,0.42082405
2,6,0.30954424
0,3,0.375288
0,4,0.25645393
5,5,0.7718496
3,3,0.6514681
3,4,0.29127118
4,4,0.5466868
4,6,0.31401837
5,5,0.5528274
2,0,0.33759817
1,4,0.25927737
4,4,0.32167828
3,3,0.29289365
5,5,0.67619026
3,3,0.5768117
3,6,0.3492082
5,5,0.7156626
5,5,0.9834383
2,4,0.23866183
5,5,0.39387128
0,6,0.6090997
3,6,0.32666153
5,5,0.45173687
6,6,0.27277088
4,3,0.3001031
3,0,0.42274556
2,6,0.43421778
2,6,0.34327963
4,6,0.46833318
5,5,0.92829424
2,3,0.26902008
3,3,0.30691922
1,6,0.32035106
0,0,0.333176
6,3,0.44858202
6,4,0.24992897
6,3,0.28535798
3,3,0.39045188
3,3,0.5892117
3,6,0.2996259
3,4,0.27609226
6,6,0.27621123
2,2,0.22772744
3,3,0.5302797
2,2,0.23549744
2,2,0.2196999
0,3,0.244473
2,4,0.27610227
3,3,0.73217565
3,3,0.5794488
2,6,0.2070546
4,4,0.28217104
4,4,0.28980553
3,3,0.45206422
4,6,0.45944166
2,4,0.45316523
4,5,0.2574256
4,3,0.47778365
3,3,0.5167669
6,2,0.23588715
4,4,0.36095423
2,3,0.28501764
1,4,0.311003
5,5,0.53115803
3,2,0.2706063
6,3,0.68075997
5,0,0.3096589
2,5,0.28287056
4,3,0.29190475
3,6,0.3286789
0,6,0.27109697
5,3,0.3221805
3,3,0.69567084
0,6,0.2316699
2,4,0.26339254
2,6,0.28403577
0,5,0.4535296
2,3,0.57205975
6,0,0.32408407
3,3,0.55283463
0,3,0.36846328
3,5,0.58329505
3,6,0.35578504
5,4,0.25280365
5,3,0.43726707
6,4,0.30095926
2,4,0.24510962
3,3,0.5800873
3,4,0.23068137
4,4,0.29214203
2,5,0.9068602
2,6,0.26470345
6,3,0.26009074
3,3,0.51367015
2,3,0.4630313
2,4,0.27761027
4,6,0.39322022
4,4,0.3291465
5,3,0.2853318
3,3,0.36052248
6,4,0.25847238
6,3,0.45519698
6,3,0.32782525
2,5,0.46937662
3,3,0.55579185
0,6,0.29497254
4,4,0.48221418
6,6,0.43091556
3,3,0.76993793
3,0,0.29470965
5,6,0.39254442
2,0,0.23361583
4,3,0.4131717
4,4,0.59117025
4,4,0.34183908
3,3,0.7944641
4,4,0.21879798
0,2,0.23207802
0,6,0.32049412
0,2,0.22130938
5,5,0.568793
3,6,0.33004358
4,3,0.45814574
3,3,0.26055416
3,3,0.39810294
3,3,0.4604534
2,6,0.24591371
3,2,0.28070253
2,6,0.3438022
6,6,0.22265242
5,5,0.42040274
3,3,0.62036896
2,3,0.5242398
0,6,0.2882451
0,0,0.3103446
3,3,0.5939327
6,4,0.27123445
6,3,0.37253574
4,3,0.26990876
0,5,0.26448107
0,6,0.33622363
5,5,0.47039455
2,3,0.30868775
6,5,0.24459036
2,4,0.30879784
3,5,0.32781124
4,4,0.3340381
2,5,0.7676624
1,3,0.314271
3,3,0.7094537
4,4,0.28668854
2,6,0.24044421
5,2,0.2615551
3,3,0.40527943
2,3,0.3489115
2,0,0.2951223
3,3,0.70366454
4,4,0.3100061
3,3,0.44302583
3,3,0.51768136
6,3,0.8171104
6,6,0.62375814
5,6,0.35087416
4,4,0.29067516
0,4,0.3041996
2,3,0.35996863
3,4,0.30609834
6,5,0.29617888
3,3,0.5420472
3,5,0.44304278
3,6,0.59363556
0,3,0.29905918
4,3,0.3131784
3,3,0.35942173
6,3,0.39295617
2,3,0.3460461
3,6,0.23614395
4,2,0.2835173
6,6,0.2429224
6,3,0.31512251
5,4,0.24386247
3,3,0.41156077
0,4,0.24458225
3,4,0.40373486
0,0,0.27565178
0,3,0.75973046
5,6,0.3156774
6,5,0.47909337
5,5,0.793621
3,6,0.25045773
0,4,0.29589394
2,4,0.2606278
4,3,0.44921863
2,6,0.23344527
4,0,0.26540586
4,4,0.23533013
6,3,0.43673447
2,4,0.25828516
1,4,0.31692767
2,6,0.41105688
2,4,0.28708568
0,3,0.26386175
2,5,0.26169157
0,6,0.233623
2,5,0.6290398
6,6,0.43148565
6,6,0.60543704
0,0,0.2495359
0,0,0.26306945
6,3,0.35729066
6,6,0.3880231
3,3,0.71770525
1,4,0.3166992
4,3,0.30580634
0,6,0.36521527
3,3,0.8432081
5,5,0.35903174
4,0,0.27832338
4,6,0.27343142
6,6,0.48801202
6,4,0.28232613
6,6,0.3532472
2,4,0.27320582
3,3,0.3017629
6,6,0.42581722
6,5,0.28988636
2,6,0.62427175
0,3,0.54797673
6,6,0.36453724
6,6,0.3536118
3,3,0.5880791
5,3,0.26737636
0,5,0.43979135
4,4,0.53608245
0,0,0.28637877
0,6,0.25452456
1,0,0.5275631
2,4,0.37046513
0,2,0.23107046
5,3,0.28787562
0,3,0.764969
4,4,0.4778551
5,5,0.3705038
2,4,0.25472385
2,4,0.21268283
0,4,0.30245423
6,3,0.52048117
6,6,0.40233973
4,3,0.2605429
0,6,0.2925324
3,3,0.36744884
3,3,0.43709493
4,4,0.4271661
4,2,0.23552313
3,6,0.37592566
6,6,0.25658658
6,3,0.7517235
2,3,0.2794095
0,3,0.19305226
5,2,0.24513018
2,4,0.304649
6,3,0.34587735
0,5,0.26443386
3,0,0.2723277
4,6,0.2948318
6,4,0.2873398
6,3,0.49212432
2,4,0.3080989
6,6,0.33595482
1,0,0.4333572
3,6,0.24924621
6,3,0.24389154
4,4,0.3417533
2,3,0.72194844
3,3,0.30099458
0,3,0.3073176
5,5,0.4291446
5,6,0.3035783
0,6,0.39543986
0,4,0.23563749
0,3,0.53569907
3,3,0.39717007
5,6,0.39794883
4,3,0.44039544
3,3,0.66886306
3,3,0.65714717
3,3,0.5100004
2,4,0.37313434
5,5,0.36330155
3,6,0.36786884
6,6,0.20894082
0,6,0.29142267
0,5,0.29231817
0,6,0.2300199
4,6,0.35263336
5,6,0.3840243
3,6,0.29833642
5,5,0.7395353
2,4,0.4870475
3,6,0.37419036
5,5,0.47183275
5,6,0.48114547
3,3,0.3130313
5,5,0.79894227
5,5,0.26598027
2,3,0.4004646
0,3,0.39358664
5,5,0.6743938
0,2,0.30140904
0,3,0.3099119
2,5,0.8208556
0,0,0.25719103
3,3,0.30333358
3,4,0.30093205
5,0,0.23933429
0,6,0.25965014
0,4,0.34754506
2,6,0.36304265
3,3,0.25835463
6,6,0.23946664
3,3,0.66399664
0,6,0.2526118
0,3,0.23655228
4,3,0.31247827
6,6,0.33903706
3,4,0.3871574
5,5,0.24685915
2,0,0.2058875
0,6,0.28420612
3,3,0.25800794
0,6,0.3751835
6,3,0.6566822
0,5,0.23064794
0,3,0.27490902
2,4,0.44677788
3,3,0.43922842
3,3,0.41107237
5,5,0.7232048
5,5,0.7197971
4,3,0.38079247
6,4,0.27513936
4,3,0.51069164
4,3,0.51474303
2,4,0.34131318
3,3,0.27252308
2,2,0.4269441
5,5,0.35267776
5,5,0.8205562
0,4,0.31109872
3,3,0.33084443
2,2,0.33860338
3,6,0.38744932
6,6,0.38290966
3,3,0.5123175
3,3,0.5523337
3,3,0.31797335
6,6,0.43164703
2,3,0.3696746
5,2,0.3114997
3,3,0.4402321
3,3,0.39760402
2,6,0.43717295
5,6,0.25579652
6,6,0.28894168
6,3,0.35699853
5,5,0.5941898
4,3,0.41243848
0,3,0.32162613
6,6,0.4217894
0,3,0.3903477
0,4,0.38078612
4,6,0.23131011
3,3,0.42240438
0,3,0.44772157
6,0,0.25709572
0,6,0.44555327
0,3,0.40369445
0,4,0.22673203
4,4,0.29773164
2,3,0.28607702
3,3,0.3245043
6,6,0.4677885
3,3,0.30011937
2,6,0.22003603
2,6,0.3013089
0,2,0.25118646
0,3,0.26637203
5,5,0.42032173
5,3,0.6372552
2,5,0.4903371
2,3,0.45737094
1,6,0.2634594
5,5,0.92503905
6,3,0.24878566
3,3,0.24132691
6,0,0.21696202
3,3,0.35464445
3,3,0.64837885
3,3,0.7362436
0,3,0.31881073
4,0,0.22570294
6,3,0.63678217
6,6,0.31755945
6,3,0.45237267
4,3,0.4785211
4,6,0.30764627
5,5,0.64880836
6,4,0.2677184
3,3,0.5228851
5,5,0.39783403
3,3,0.5292827
2,3,0.3259635
0,3,0.37247458
4,6,0.4013447
3,3,0.86073965
6,6,0.31313485
0,6,0.37623736
3,3,0.64056134
5,5,0.8983952
6,6,0.3575013
3,3,0.4090464
2,3,0.2786371
2,4,0.30706617
2,4,0.23049454
2,5,0.3967289
4,6,0.48280132
1,5,0.2541746
6,6,0.49710348
1,4,0.5031371
3,3,0.384117
6,3,0.7173606
4,3,0.6171327
5,0,0.23030853
2,4,0.5995988
6,6,0.24963707
3,3,0.39686835
0,6,0.47161698
0,0,0.26343724
4,4,0.4582487
3,3,0.43444785
3,3,0.45736915
3,6,0.24127296
5,2,0.3779601
2,5,0.46922207
3,3,0.50563747
0,0,0.25673187
4,6,0.5198197
4,6,0.25743845
6,6,0.32257375
4,4,0.35630822
0,0,0.30753174
3,6,0.35572603
3,3,0.29512534
4,4,0.48078218
3,3,0.48679093
5,3,0.27569166
4,6,0.45389336
3,5,0.31411883
6,6,0.66765505
5,5,0.59324247
2,4,0.36041248
6,3,0.31301585
3,3,0.6600081
3,3,0.6732918
4,5,0.31627238
5,5,0.42032173
2,6,0.24459277
2,3,0.39014167
6,6,0.444088
4,6,0.2520735
0,5,0.4907251
5,2,0.21122168
3,6,0.30284488
2,4,0.46460804
3,3,0.51643944
4,4,0.22095662
6,6,0.6656271
6,5,0.45171648
3,3,0.24403113
3,6,0.33330163
3,3,0.50601995
0,4,0.2856428
4,6,0.3377261
6,6,0.32041976
5,5,0.6685951
5,5,0.8455338
3,4,0.36562327
6,6,0.57425576
3,4,0.3423126
3,3,0.6059879
5,5,0.92829424
6,6,0.49805853
3,3,0.65733796
2,0,0.20786104
5,5,0.30669215
3,3,0.59877133
6,3,0.3509337
3,3,0.6144364
6,3,0.5076668
6,3,0.25802097
4,2,0.23331784
3,4,0.2961216
0,0,0.29012057
2,6,0.39132637
3,3,0.3578475
5,5,0.8146381
6,6,0.8009626
0,0,0.6979776
2,4,0.37006202
4,3,0.44288132
4,6,0.345963
4,6,0.2900276
0,3,0.30910733
3,3,0.78435713
3,4,0.28794485
5,5,0.4719374
3,3,0.770128
3,3,0.34232885
3,6,0.34678343
2,5,0.72833747
6,6,0.26483148
6,6,0.4444669
6,3,0.50766885
5,0,0.24065617
3,3,0.91577446
6,6,0.41281778
0,6,0.41572312
6,3,0.32282677
3,3,0.28565052
2,6,0.2452841
5,3,0.48570156
0,0,0.40807647
4,4,0.2582987
3,5,0.3110082
6,6,0.2606484
4,4,0.30124322
4,6,0.43403712
2,5,0.31559852
4,6,0.22206905
4,3,0.44351003
4,3,0.32954538
5,5,0.41408485
4,6,0.2133685
5,5,0.89835995
2,4,0.38699526
5,6,0.2456255
6,4,0.24553354
2,5,0.72348183
2,4,0.38123667
3,3,0.38059965
2,4,0.3603044
6,6,0.24565852
5,6,0.31128824
4,4,0.32464188
0,6,0.38381377
6,4,0.2853358
3,4,0.34871235
6,6,0.3626357
3,6,0.30079406
6,0,0.28815
6,4,0.2818714
0,3,0.24989863
5,5,0.5099766
2,4,0.2842445
2,4,0.23228608
0,4,0.28829297
6,6,0.34474397
3,3,0.36313483
4,0,0.22009948
3,3,0.3246278
3,3,0.29822937
6,6,0.32772088
0,6,0.3476563
3,3,0.49735913
5,5,0.4800712
3,6,0.369833
2,3,0.40365288
2,4,0.28508174
3,4,0.29368985
2,0,0.20547776
0,2,0.26280907
4,4,0.3435178
3,6,0.3297825
4,3,0.62268937
3,6,0.26015657
0,0,0.2614406
2,5,0.22699256
4,0,0.3421052
5,5,0.4542994
3,3,0.58834493
3,6,0.38491622
0,6,0.28795877
3,6,0.27013242
5,5,0.21741985
2,5,0.1988234
6,3,0.3301601
4,6,0.32379574
1,6,0.28056723
3,4,0.35296327
5,6,0.38510254
4,4,0.2629405
6,6,0.31765118
2,6,0.31088802
2,4,0.35592768
5,4,0.35854504
2,0,0.27099425
3,3,0.5106638
3,3,0.45522255
1,6,0.21293072
4,6,0.24808937
3,3,0.44381163
4,4,0.32253164
4,4,0.26397422
3,3,0.43733793
6,3,0.4469714
0,2,0.21741536
4,6,0.26327872
6,4,0.31452602
5,4,0.29539388
3,3,0.5869664
2,4,0.23510732
2,3,0.6844159
5,5,0.8847851
6,5,0.3240343
2,5,0.69451284
6,4,0.31163415
0,5,0.2689705
3,3,0.44252515
2,4,0.26738146
2,3,0.59591794
0,3,0.34505445
3,3,0.68442035
6,6,0.5340152
4,4,0.39194986
2,5,0.5742996
2,4,0.21551076
2,3,0.27416342
0,3,0.3193159
1,0,0.19730623
4,4,0.3133656
0,5,0.5247311
6,3,0.49493226
0,3,0.4283552
6,3,0.8096842
3,2,0.25042504
4,3,0.38709736
3,3,0.4098154
3,4,0.3722767
4,6,0.41656363
2,6,0.32870695
3,4,0.38601008
4,6,0.27951127
3,6,0.26773578
4,6,0.29163024
5,6,0.27951053
0,6,0.3326302
3,6,0.28933582
6,5,0.20719178
5,5,0.4627868
3,6,0.25758335
0,6,0.30538365
4,4,0.35298067
0,6,0.3659067
0,5,0.44763502
0,6,0.29142267
0,5,0.32358244
4,3,0.39277062
6,3,0.48659095
5,3,0.24543506
3,6,0.29137123
5,5,0.873611
2,4,0.35605153
3,3,0.49633348
4,5,0.48472384
3,3,0.54077524
5,5,0.5524704
4,6,0.4365586
0,3,0.29872626
6,6,0.56643426
6,6,0.42605007
0,0,0.3738753
4,4,0.29117393
6,3,0.3201436
0,4,0.42729843
2,5,0.49584803
4,3,0.42104018
4,4,0.5065706
0,6,0.27748963
2,3,0.69423497
2,5,0.26814008
6,3,0.30195022
3,3,0.53458726
5,3,0.29213583
2,6,0.27631456
0,3,0.26140895
4,4,0.33913955
2,3,0.33601403
5,5,0.4787086
0,0,0.42329082
3,4,0.5287627
0,0,0.40171322
5,6,0.4118921
3,3,0.3893346
3,6,0.3581313
5,3,0.3790238
2,5,0.5802237
5,3,0.40676486
3,3,0.44693422
4,3,0.2652349
2,3,0.23231176
2,3,0.48895356
2,5,0.28099322
5,2,0.21675016
3,3,0.9108098
2,0,0.45306802
3,6,0.3705892
0,3,0.4459697
5,5,0.72188807
3,5,0.23854037
0,4,0.38246328
4,4,0.4396971
2,2,0.40116295
5,5,0.56671095
3,2,0.31519586
2,6,0.37751293
2,0,0.4232741
2,4,0.45079646
6,6,0.212536
0,4,0.27306715
2,3,0.39014167
2,4,0.28874686
6,6,0.33496872
4,4,0.42197534
2,3,0.21771033
3,3,0.55991906
3,3,0.7141519
0,6,0.32034704
3,3,0.32309204
6,3,0.4472842
2,3,0.758357
6,3,0.53660554
1,3,0.4758245
2,6,0.3592553
4,4,0.27388567
1,3,0.24321343
6,4,0.27425358
2,6,0.44982105
2,5,0.72806793
2,6,0.23480196
6,4,0.31426185
6,3,0.34331015
5,5,0.5456611
6,5,0.48888612
0,6,0.45106792
2,6,0.24655738
4,3,0.649671
0,4,0.30291858
3,3,0.61670166
4,6,0.39100724
5,4,0.23585925
3,4,0.4417457
2,4,0.3578167
6,4,0.34127054
0,5,0.35109454
3,3,0.29469243
4,3,0.37392798
2,4,0.25414222
3,3,0.62534046
2,3,0.23568629
3,4,0.6483987
6,3,0.48807678
4,3,0.34760067
4,4,0.3360804
3,4,0.33649895
0,6,0.40392345
6,6,0.5410578
6,3,0.55511683
5,6,0.35960093
6,6,0.44839886
4,4,0.3924226
4,3,0.31218618
1,6,0.33049044
4,6,0.4059411
5,3,0.24583142
3,3,0.40883207
0,4,0.2336054
4,4,0.42070627
6,6,0.50139034
5,6,0.40329513
2,5,0.43997735
3,6,0.39585927
0,3,0.2595215
4,3,0.2387404
6,0,0.20002154
3,3,0.6455519
6,5,0.2594067
2,0,0.28492606
2,3,0.33502713
3,3,0.5749394
2,4,0.32959154
2,2,0.43240696
5,5,0.2693659
6,6,0.5108367
3,3,0.54602706
3,3,0.73080695
4,3,0.40274632
3,3,0.76259553
6,3,0.21539734
0,3,0.2651278
2,4,0.36563465
0,3,0.45865825
3,4,0.23505433
3,3,0.5728975
2,4,0.34281266
3,4,0.32830325
6,3,0.46780148
6,3,0.43164772
2,4,0.3100949
2,4,0.38930783
3,6,0.3516913
3,4,0.36158904
6,6,0.37415308
6,4,0.3556702
4,4,0.40320694
6,6,0.21518283
5,3,0.41422
6,2,0.24278733
2,3,0.40568972
4,3,0.41605288
3,3,0.45609465
3,4,0.38080132
6,4,0.27276224
0,3,0.2266328
3,5,0.33106953
5,5,0.7025051
6,5,0.2292518
0,3,0.4213886
3,3,0.71519744
5,5,0.35121474
5,4,0.22647713
5,5,0.44949093
4,3,0.37951127
6,4,0.25128976
0,3,0.4206599
0,0,0.24067016
0,0,0.27385604
0,3,0.41414976
3,3,0.4752565
4,3,0.3297611
6,3,0.42816892
3,3,0.23560698
2,2,0.3247172
3,6,0.29678524
4,4,0.6347559
2,6,0.35207495
6,5,0.2727221
4,3,0.34349298
3,3,0.56620437
5,5,0.65044254
3,4,0.26906288
3,3,0.4649323
3,3,0.6229803
0,4,0.38882333
3,6,0.43684816
3,5,0.38072973
5,5,0.47183612
0,6,0.37619
4,5,0.35743418
4,4,0.44497907
4,6,0.29198518
6,3,0.2459995
0,3,0.30768764
3,4,0.26197177
3,3,0.4782426
4,6,0.3459822
6,3,0.85727364
4,3,0.48892224
0,3,0.2660771
3,3,0.47104532
0,6,0.30662686
3,3,0.5055829
3,3,0.41357327
3,6,0.44198078
3,3,0.48949414
0,4,0.24487166
0,3,0.36323604
3,3,0.72315025
3,3,0.6167263
4,4,0.4110279
3,4,0.2685294
2,3,0.27916142
6,3,0.2956341
3,3,0.26650077
0,6,0.30538365
0,3,0.2164106
3,3,0.727402
6,3,0.29331172
5,0,0.22167422
4,0,0.21815704
4,4,0.28124505
3,4,0.3979559
0,0,0.5565315
3,3,0.37412018
6,6,0.28801003
6,3,0.50085384
2,2,0.29713464
4,3,0.6409345
3,3,0.80503
0,3,0.32895276
3,3,0.6001907
3,4,0.22098106
4,3,0.549756
0,3,0.43321308
3,3,0.43950048
3,6,0.38407812
5,5,0.8908374
5,5,0.28769895
3,5,0.46163628
3,3,0.41474396
2,3,0.22356904
0,4,0.29060632
4,6,0.22315565
5,5,0.39794087
5,4,0.22292025
3,3,0.5893654
4,6,0.3143539
2,4,0.33467582
6,6,0.53651863
4,4,0.40881723
3,4,0.292793
0,0,0.2380312
3,3,0.42977053
0,4,0.41130728
4,3,0.45232284
2,4,0.2692185
4,6,0.40048826
0,3,0.28118262
2,6,0.34112337
3,3,0.40388948
4,3,0.3054027
3,6,0.27872106
5,5,0.6173712
0,3,0.3049309
0,4,0.34626308
4,6,0.41553566
6,6,0.45450634
3,4,0.29310292
3,3,0.8342257
2,2,0.45755333
6,6,0.5098116
4,4,0.30020657
3,3,0.5944891
6,6,0.6205842
6,3,0.4279383
3,3,0.6539988
4,3,0.22868687
6,6,0.4202542
5,5,0.6639873
6,6,0.39512762
5,2,0.22145756
0,5,0.34664655
6,4,0.28571472
0,4,0.3868295
3,3,0.37858188
0,5,0.59559196
0,4,0.25321975
4,3,0.37719113
1,3,0.49359792
3,3,0.43023744
3,3,0.69987833
4,3,0.46745774
5,5,0.9111639
2,4,0.30913475
3,3,0.3218353
2,6,0.3782665
6,3,0.29964608
5,5,0.79451364
2,0,0.20849837
0,4,0.32707036
4,4,0.35006335
6,6,0.31147793
2,4,0.32337543
5,5,0.77885664
0,5,0.9006548
2,3,0.3521388
4,5,0.86843866
2,3,0.287317
6,6,0.20052835
4,6,0.41603193
0,3,0.38615263
4,3,0.30453247
3,3,0.34686503
0,6,0.3057024
0,2,0.20343977
3,3,0.41683415
3,3,0.5261763
3,4,0.2528648
0,4,0.28839913
1,4,0.3032498
4,4,0.5875359
3,6,0.33744207
0,6,0.57996255
0,4,0.2162501
3,3,0.45987424
2,3,0.27152655
3,3,0.26428428
5,3,0.30246228
6,3,0.33179012
4,6,0.27311957
3,4,0.31904337
3,6,0.30269882
3,4,0.44680706
5,3,0.37034938
4,4,0.4454459
3,3,0.63217354
4,6,0.24185793
2,5,0.2608478
0,3,0.32275584
3,3,0.55876535
5,5,0.46854502
4,6,0.41912228
0,3,0.21197926
0,3,0.66553557
3,6,0.37761736
3,3,0.45325968
0,4,0.29181683
0,4,0.30113783
0,5,0.50475526
